id;exp_type;amt;date;jhi_desc;created_date;created_by;last_modified_date;last_modified_by
1;VOUCHER;65725;2020-09-01;copy niches Bacon;2020-09-01T16:19:29;Qatari Rial secured line;2020-09-01T22:30:55;index Producer
2;INVOICE;27727;2020-09-01;encryption Bedfordshire;2020-09-01T08:06:09;Handmade Plastic Chicken;2020-09-01T07:29:55;matrix architectures
3;INVOICE;95338;2020-09-01;synergize;2020-09-01T06:37:36;unleash Sausages;2020-09-01T10:46:36;Distributed Wyoming
4;INVOICE;29772;2020-09-01;Croatian Kuna Ergonomic;2020-09-02T02:22:12;transmit;2020-09-01T11:28:52;mint green Alabama
5;INVOICE;61122;2020-09-01;relationships;2020-09-01T04:01:11;Mills;2020-09-01T05:34:45;Checking Account
6;RECIEPT;67246;2020-09-01;hack COM Architect;2020-09-01T18:30:06;Credit Card Account;2020-09-01T12:27:26;evolve
7;RECIEPT;42753;2020-09-01;redundant HTTP;2020-09-01T17:16:41;deliverables Electronics Investment Account;2020-09-01T06:21:01;Lempira portal
8;INVOICE;81656;2020-09-01;Ergonomic;2020-09-02T00:05:17;Associate Guinea Franc Metical;2020-09-01T19:13:05;Configuration initiatives
9;RECIEPT;11290;2020-09-01;Ethiopian Birr COM;2020-09-02T02:52:01;synthesize;2020-09-01T12:40:14;Generic
10;RECIEPT;39658;2020-09-01;generate Georgia;2020-09-02T02:27:19;Producer;2020-09-01T16:06:15;Technician grid-enabled
