id;name;jhi_desc;total_roul;created_date;created_by;last_modified_date;last_modified_by
1;context-sensitive New York lime;Metal;quantifying Iowa;2020-09-01T19:02:56;purple Computer Pants;2020-08-31T21:26:44;yellow JSON
2;Refined Rubber Salad;installation user-centric microchip;Sausages orchid Buckinghamshire;2020-09-01T06:00:59;navigate enable Montana;2020-08-31T22:14:32;Upgradable
3;lime Developer Brand;PNG Kroon;Hawaii UIC-Franc;2020-08-31T23:23:40;Turkmenistan;2020-09-01T13:45:50;SDR
4;Movies;PCI Hat;Berkshire Accountability orchestration;2020-09-01T06:26:00;bluetooth;2020-09-01T02:13:55;Specialist
5;Executive Soft;Wyoming;leading-edge Delaware compress;2020-08-31T23:46:07;functionalities Credit Card Account Clothing;2020-08-31T21:22:24;optical Up-sized
6;Grove;mesh virtual;Tasty Games;2020-08-31T21:29:45;Paradigm;2020-09-01T16:46:30;installation
7;users Panama;paradigms syndicate;Paradigm;2020-09-01T13:35:28;connect;2020-09-01T01:36:53;mindshare well-modulated
8;application Small Granite Pants bluetooth;Dynamic PNG Plastic;XML;2020-09-01T06:42:56;static Metal;2020-09-01T16:19:05;hierarchy synthesizing
9;Nevada;Springs heuristic;Senior;2020-09-01T14:25:56;Steel transmitter synergize;2020-09-01T07:48:44;generate protocol
10;Keyboard Toys Bacon;Mobility;Money Market Account maroon;2020-08-31T22:07:18;adapter;2020-09-01T08:28:27;Grocery Mouse
